Representative_Sequence	total	A23.C0	CreativEruC00	CreativEruC02	CreativEruC03	CreativEruC06	CreativEruC08	CreativEruC10	CreativEruC12	CreativEruC14	CreativEruC16	CreativEruC19	CreativEruC21	CreativEruC23	CreativEruC25	CreativEruC27	CreativEruC29	CreativEruC31	CreativEru_A01	CreativEru_A07	CreativEru_A09	CreativEru_A10	CreativEru_A13	CreativEru_A18	CreativEru_Y04	CreativEru_Y07	CreativEru_Y10	CreativEru_Y13	CreativEru_Y16	CreativEru_Y19	CreativEru_Y23	Y27.CN2	
HUDK80S01A9DOD	4352	440	29	898	438	174	189	148	147	85	170	55	157	68	136	200	238	160	4	14	86	138	58	156	0	15	19	0	0	22	72	36	
HUDK80S01BI9DS	251	246	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	0	2	0	0	0	0	0	0	
HUDK80S01B6YSZ	1043	211	314	110	17	21	3	1	4	0	4	0	0	0	0	16	3	0	0	0	53	70	76	23	0	0	0	2	22	72	4	17	
HUDK80S01BZBKP	334	183	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	49	73	0	0	0	1	0	1	2	25	
HUDK80S01A9FOI	145	64	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	57	0	0	0	0	4	0	0	20	
HUDK80S01B8SZG	63	61	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	
HUDK80S01B85D5	210	136	0	0	0	0	0	0	1	0	0	0	0	0	0	6	0	0	0	0	5	4	21	6	1	6	0	0	4	3	8	9	
HUDK80S01ATVAH	101	99	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	
HUDK80S01A6SB1	1198	148	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	969	11	0	0	1	0	10	9	8	41	
HUDK80S01CERSE	118	95	0	0	2	0	0	0	0	2	1	0	1	1	0	11	3	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	
HUDK80S01B6JOM	114	97	0	0	0	0	0	0	4	0	0	0	3	0	0	0	0	0	0	0	0	2	1	0	0	0	0	3	0	3	0	1	
HUDK80S01AHFES	94	93	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	
HUDK80S01A6C90	73	73	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
HUDK80S01BJLIS	257	79	0	3	0	7	7	0	7	0	0	1	0	0	4	0	1	4	3	1	2	0	14	14	5	36	0	0	2	5	27	35	
HUDK80S01BONNV	126	72	0	5	5	10	3	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	3	0	0	1	0	0	14	0	10	
HUDK80S01BS0LE	1592	97	0	2	3	7	10	2	4	7	0	0	0	1	0	1	1	0	1	0	2	0	41	1	25	1015	80	33	45	100	93	21	
HUDK80S01BJRW2	66	64	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	
HUDK80S01BMRKN	122	68	0	26	4	2	0	0	0	0	0	0	0	0	0	0	0	0	0	6	2	0	4	0	8	0	0	0	0	0	0	2	
HUDK80S01BPG74	381	76	3	49	59	10	17	19	4	14	8	5	5	5	2	8	13	9	7	0	0	0	0	20	8	8	5	1	1	1	2	22	
HUDK80S01BYZFI	161	80	0	0	0	0	0	2	1	1	2	2	4	0	0	3	16	10	0	0	2	0	1	0	0	0	1	0	0	3	0	33	
HUDK80S01BAIR4	404	52	15	40	88	23	0	0	1	0	1	0	0	0	0	0	0	0	27	2	17	1	15	115	4	0	0	0	0	1	2	0	
HUDK80S01BH1LS	85	60	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	1	0	0	8	1	9	
HUDK80S01B36DI	66	58	6	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
HUDK80S01BUQ64	740	76	4	5	10	1	3	0	1	0	4	0	0	4	0	0	0	5	33	6	18	3	182	175	47	35	17	4	6	32	66	3	
HUDK80S01BATXP	63	37	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	5	0	0	2	0	0	5	0	2	10	
HUDK80S01BZHXN	8	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
HUDK80S01BH1PB	93	66	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	27	0	0	0	0	0	0	0	0	
HUDK80S01BOYC3	38	37	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	
HUDK80S01A56FF	28	28	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
HUDK80S01BIPTM	141	22	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	39	3	75	
HUDK80S01B8M77	36	19	0	0	6	0	1	3	0	1	0	2	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	
HUDK80S01BSQKZ	40	40	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
HUDK80S01BQ6S4	1057	60	0	8	3	5	2	0	6	4	0	0	2	7	0	2	5	0	1	7	29	12	368	372	12	55	16	7	12	7	55	0	
HUDK80S01BD5M3	405	31	13	9	92	27	4	2	7	8	1	0	0	2	3	5	2	0	1	53	45	15	3	24	3	41	13	0	0	0	0	1	
HUDK80S01B178S	47	47	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
HUDK80S01BJSBL	93	23	0	1	7	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	52	0	6	
HUDK80S01AO80D	32	32	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
HUDK80S01BVZWP	139	18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	6	76	22	0	3	0	0	0	0	0	9	
HUDK80S01BL8KK	617	41	2	80	129	79	69	27	32	19	24	14	11	16	15	18	12	5	0	0	1	0	15	3	0	2	0	0	1	0	1	1	
HUDK80S01CCEGE	41	29	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	2	0	
HUDK80S01AZFDG	63	25	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	2	7	1	0	0	27	0	0	0	0	0	0	0	0	
HUDK80S01A0AUD	56	18	0	1	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	1	0	2	29	0	2	1	0	0	0	0	0	
HUDK80S01BGMKY	98	46	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	39	0	0	0	0	0	0	6	7	
HUDK80S01CCYEF	24	22	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	
HUDK80S01A9CQ5	121	28	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	1	6	6	25	20	6	12	0	0	0	1	14	0	
HUDK80S01BHE1A	32	27	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	
HUDK80S01BDSYY	209	28	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	42	0	89	20	1	3	12	2	9	
HUDK80S01ASB94	1621	34	38	2	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	219	683	450	176	0	0	5	0	1	4	1	0	
HUDK80S01BCD8P	32	29	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	
HUDK80S01BLVPA	57	26	0	0	3	0	0	0	1	0	1	0	0	0	0	0	0	0	0	3	0	0	0	9	0	5	1	0	0	0	1	7	
HUDK80S01A5S9W	70	38	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	11	12	0	0	0	0	0	0	0	1	
HUDK80S01BS9B1	13	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
HUDK80S01BB1SA	50	21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	3	0	22	0	0	0	0	0	0	0	0	
HUDK80S01A6GU7	93	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	70	0	0	0	0	0	0	0	1	
HUDK80S01BJF22	5420	18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	126	1929	1988	1290	44	0	0	1	7	3	10	1	0	
HUDK80S01AVTNP	36	32	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	3	0	0	
HUDK80S01B6YG7	16	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	
HUDK80S01BR07G	156	11	0	0	3	0	0	0	0	1	0	0	1	0	0	0	0	2	0	0	0	0	0	0	0	9	49	0	0	4	6	70	
HUDK80S01B0AHC	18	18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
HUDK80S01B6YLG	13	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	
HUDK80S01AWPM1	53	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	6	0	1	28	0	0	0	0	0	0	2	0	
HUDK80S01A1SWD	22	14	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	
HUDK80S01A6FSJ	1388	11	0	3	33	15	3	0	3	1	1	0	0	0	0	1	1	0	2	1	0	0	4	0	72	585	73	45	49	131	284	70	
HUDK80S01ARUMF	15	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
HUDK80S01AU7KG	77	31	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	15	0	0	0	0	2	8	3	10	
HUDK80S01CCL0S	13	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	
HUDK80S01ANQWT	19	15	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	
HUDK80S01BNM6Y	35	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	12	7	0	0	0	0	0	0	0	0	
HUDK80S01CFBRD	20	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
HUDK80S01BE8KB	433	27	12	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	35	39	19	154	119	0	9	0	0	0	0	5	0	
HUDK80S01AXG8X	15	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
HUDK80S01CEFPR	41	8	0	0	0	6	0	0	0	0	5	0	0	5	0	0	0	9	0	0	2	0	0	4	0	0	2	0	0	0	0	0	
HUDK80S01A1SGH	13	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
HUDK80S01A8HO7	184	22	16	6	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17	48	29	35	0	0	1	1	2	5	0	0	
HUDK80S01AZQ57	9	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
HUDK80S01CBAD3	27	21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	3	
HUDK80S01A8508	24	24	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
HUDK80S01B4LAH	31	29	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
HUDK80S01B0ZHK	113	29	0	0	7	0	9	2	5	2	2	0	6	0	2	0	9	2	0	0	0	0	0	0	8	16	3	1	7	0	3	0	
HUDK80S01BNA29	359	12	0	0	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	2	1	0	5	117	16	200	
HUDK80S01BK3FA	15	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
HUDK80S01ATCQ6	514	8	18	5	16	9	0	0	0	1	0	0	0	0	0	0	0	0	5	0	0	2	0	33	20	149	24	14	48	135	27	0	
HUDK80S01A4FEL	26	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15	0	0	0	0	0	0	0	0	
HUDK80S01CF0A2	36	19	0	0	0	2	0	0	0	0	0	0	0	0	0	2	9	2	0	0	0	0	0	0	0	0	0	0	0	0	0	2	
HUDK80S01B70UC	139	36	0	0	0	0	0	0	0	1	0	0	2	0	0	0	0	0	0	0	0	0	0	0	2	62	3	0	0	5	28	0	
HUDK80S01APHYO	11	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
HUDK80S01CC07V	502	14	18	108	165	58	32	6	10	35	9	0	6	3	3	1	10	1	3	1	5	0	0	0	3	8	0	0	0	0	2	1	
HUDK80S01CBANN	27	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	4	3	
HUDK80S01BBF5M	861	8	4	327	397	53	17	6	21	0	1	0	0	0	0	0	0	0	8	0	0	0	0	0	7	12	0	0	0	0	0	0	
HUDK80S01BMH1W	1412	26	5	1	3	0	9	5	0	0	0	0	0	0	0	0	1	0	34	64	83	81	308	203	149	83	41	37	111	83	80	5	
HUDK80S01CEVNY	40	7	0	0	0	0	0	7	2	3	8	0	0	1	0	2	0	0	0	0	0	4	1	5	0	0	0	0	0	0	0	0	
HUDK80S01B9LEW	104	23	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	5	16	45	2	1	1	1	1	1	3	0	
HUDK80S01B32K7	7	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
HUDK80S01BKK1S	8	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
HUDK80S01BGY72	74	9	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	48	2	0	0	4	0	0	0	0	0	1	0	9	0	
HUDK80S01B5NEK	13	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	3	0	
HUDK80S01A6TY8	143	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	1	0	1	0	0	0	0	0	12	103	11	
HUDK80S01BSKG7	18	18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
HUDK80S01AKA12	60	7	0	0	0	0	0	1	0	0	1	0	0	4	15	4	11	6	0	0	0	0	1	0	0	4	2	0	1	1	1	1	
HUDK80S01A2CQJ	6	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
HUDK80S01A6VKU	25	8	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	8	3	1	0	1	0	0	0	0	0	
HUDK80S01AGP5L	38	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	30	0	0	0	0	0	0	0	0	
HUDK80S01BJ1OO	6	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
HUDK80S01B4HYT	14	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0	2	
HUDK80S01B2D2X	46	6	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	32	1	0	0	0	0	0	0	0	0	2	3	0	0	
HUDK80S01AY64K	10	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
HUDK80S01BDJT9	4	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
HUDK80S01B675L	8	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
HUDK80S01B6FEN	55	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	24	18	2	3	0	0	0	0	0	0	0	0	
HUDK80S01A9FS2	7	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
HUDK80S01BRXLX	4	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	
HUDK80S01ALQDO	6	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
HUDK80S01BWH06	11	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	2	
HUDK80S01CECAC	319	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	30	14	33	215	0	6	2	1	4	7	0	0	
HUDK80S01AMOXR	2830	12	2	155	897	454	325	208	168	81	62	6	21	9	21	6	11	3	0	0	0	0	32	0	82	23	2	0	0	57	181	12	
HUDK80S01CCXB9	793	11	0	35	56	17	9	8	4	0	3	0	0	0	0	0	0	0	0	4	0	2	459	2	22	100	17	16	9	12	7	0	
HUDK80S01BZ4HE	15	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	1	2	0	0	0	0	0	0	1	0	
HUDK80S01CBL2N	40	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	29	0	0	0	0	0	0	1	0	
HUDK80S01B5AUX	20	17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
HUDK80S01A2ZY8	26	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	6	0	0	0	0	0	0	0	2	
HUDK80S01A7ELN	10	7	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
HUDK80S01CBLSM	11	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
HUDK80S01BVEBU	5	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
HUDK80S01A17X8	23	19	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	
HUDK80S01AP3C8	12	7	0	0	0	0	0	0	0	0	0	0	0	0	3	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
HUDK80S01AN7RO	5	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
HUDK80S01AHX38	9	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	
HUDK80S01ALKBG	5	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
HUDK80S01CANR3	6	5	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
HUDK80S01AZ2HW	23	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	0	0	0	0	1	0	0	0	
HUDK80S01ASGUD	7	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	
HUDK80S01BM0Q7	18	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	0	0	0	0	0	0	0	0	
HUDK80S01CEL1X	11	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	3	0	0	0	0	0	0	0	1	
HUDK80S01BXW03	5	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
HUDK80S01B8WB5	6	5	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
HUDK80S01B6CWX	15	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	
HUDK80S01ATDLZ	40	14	0	0	0	0	0	0	0	0	0	0	0	0	0	2	5	7	0	0	0	0	0	0	0	0	0	0	1	1	4	6	
HUDK80S01CA20H	5	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
HUDK80S01B62Z3	8	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
HUDK80S01B8V81	28	8	0	0	2	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	2	0	0	
HUDK80S01BFJXO	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
HUDK80S01AUPCP	565	15	13	0	21	3	7	6	14	9	1	0	4	0	0	0	2	4	12	21	88	58	132	118	10	8	1	0	0	7	6	5	
HUDK80S01BV7UW	6	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
HUDK80S01AOGCL	5	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
HUDK80S01AWIFF	15	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	3	0	0	0	0	0	0	0	0	0	
HUDK80S01BWS1W	5	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
HUDK80S01B2EGX	116	6	0	13	4	2	0	0	0	6	1	1	0	1	2	14	3	0	0	0	0	0	4	59	0	0	0	0	0	0	0	0	
HUDK80S01A42CE	5	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
HUDK80S01AKBXK	5	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
HUDK80S01BDGA1	2101	10	0	17	441	117	88	126	107	242	89	54	78	110	59	112	140	63	0	0	0	0	0	0	0	2	14	0	1	45	7	179	
HUDK80S01A06KV	5	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
HUDK80S01B1VBV	6	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	
HUDK80S01CBDN3	4	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
HUDK80S01BGT16	147	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	115	19	0	0	0	0	0	0	0	0	
HUDK80S01AQ9O6	9	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	3	1	0	1	0	0	0	0	0	0	0	0	0	
HUDK80S01A0ZGE	4	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
HUDK80S01BNN9L	12	4	0	0	0	0	0	3	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
HUDK80S01CFBOI	10	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	2	0	
HUDK80S01ALQG1	133	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	57	71	
HUDK80S01A5ZW7	4	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
HUDK80S01BKVJ2	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
HUDK80S01BT9E0	3	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
HUDK80S01BC999	5	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
HUDK80S01BEI8V	4	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
HUDK80S01AWFA9	5	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	
HUDK80S01A3ZEJ	6	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
HUDK80S01BS9P4	5	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	
HUDK80S01BK05I	4	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
HUDK80S01BO4JJ	5	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	
HUDK80S01CC36V	7	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	
HUDK80S01B7BBO	4	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
HUDK80S01AUEB3	18	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	6	0	0	0	0	0	0	0	0	
HUDK80S01A6Y01	6	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
HUDK80S01AU31F	4	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
HUDK80S01A68YN	4	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
HUDK80S01A3MGJ	5	4	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
