Representative_Sequence	total	A23.C0	CreativEruC00	CreativEruC02	CreativEruC03	CreativEruC06	CreativEruC08	CreativEruC10	CreativEruC12	CreativEruC14	CreativEruC16	CreativEruC19	CreativEruC21	CreativEruC23	CreativEruC25	CreativEruC27	CreativEruC29	CreativEruC31	CreativEru_A01	CreativEru_A07	CreativEru_A09	CreativEru_A10	CreativEru_A13	CreativEru_A18	CreativEru_Y04	CreativEru_Y07	CreativEru_Y10	CreativEru_Y13	CreativEru_Y16	CreativEru_Y19	CreativEru_Y23	Y27.CN2	
Mpick42	6	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
Mpick43	4	2	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Mpick44	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Mpick45	82	9	0	0	0	0	2	1	0	0	1	0	0	7	15	6	21	6	0	0	1	0	1	0	0	4	2	0	1	3	1	1
Mpick46	34	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16	0	0	0	0	0	0	0	3
Mpick47	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Mpick48	87	4	9	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	33	21	7	0	7	0	1	0	0	0	0	0	2	0
Mpick49	11	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	1	0	0	0	0	5
Mpick50	36	3	10	1	1	0	0	0	1	0	0	0	0	0	0	0	2	1	0	0	1	0	1	0	1	1	1	0	6	5	1	0
Mpick51	16	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Mpick52	1904	447	5	3	7	2	6	0	2	2	1	0	0	1	0	0	1	0	0	2	0	9	1066	193	0	0	2	5	17	12	20	101
Mpick53	9	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Mpick54	13	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
Mpick55	15	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1
Mpick56	3	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Mpick57	25	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	13	0	2	0	0	3	0	0	1	0	0
Mpick58	11	2	0	0	0	0	0	0	0	1	1	0	1	2	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
Mpick59	39	5	0	0	2	2	0	6	9	3	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	10
Mpick60	3	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Mpick61	125	78	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	47	0	0	0	0	0	0	0	0
Mpick62	234	37	0	2	0	0	0	0	0	1	0	0	2	0	0	0	0	0	0	0	0	0	0	0	5	86	3	1	4	18	75	0
Mpick63	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Mpick64	196	6	0	1	0	0	5	1	0	0	0	0	0	0	3	0	0	0	5	20	55	28	3	66	0	0	0	0	0	3	0	0
Mpick65	655	55	22	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17	54	88	62	164	159	0	14	0	1	0	2	6	5
Mpick66	56	4	8	26	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	5	12	0	0	0	0	0	0	0	0	0	0
Mpick67	58	0	40	14	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Mpick68	275	0	238	30	2	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Mpick69	42	0	40	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Mpick70	278	0	150	95	28	4	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
Mpick71	47	0	28	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	5	0	3	4	0	0	0	0	0	0	0	0	0
Mpick72	220	0	180	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	28	0	0	0	0	0	0	0	0	0	0	0	0	0
Mpick73	25	0	23	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
