Run	Ne	u	Theta	Mean(Theta)	Std(Theta)	Precision(%)	NumberPoints
gal4_550_1	5.50e+02	1.00e-06	2.20e-03	2.28e-03	5.67e-04	3.73e+00	562
gal4_640_1	6.40e+02	1.00e-06	2.56e-03	2.42e-03	5.62e-04	5.41e+00	161
gal4_640_2	6.40e+02	1.00e-06	2.56e-03	2.44e-03	5.43e-04	4.88e+00	159
gal4_820_1	8.20e+02	1.00e-06	3.28e-03	3.28e-03	6.66e-04	1.02e-01	151
gal4_820_2	8.20e+02	1.00e-06	3.28e-03	3.24e-03	6.53e-04	1.33e+00	150
gal4_1000_1	1.00e+03	1.00e-06	4.00e-03	4.02e-03	7.02e-04	4.54e-01	150
gal4_1000_2	1.00e+03	1.00e-06	4.00e-03	4.01e-03	6.98e-04	1.85e-01	151
